iter	Passed	Remaining
0	1	129
1	2	108
2	3	97
3	3	89
4	5	104
5	6	102
6	7	98
7	8	94
8	9	91
9	9	89
10	10	86
11	11	87
12	12	86
13	13	84
14	14	83
15	15	83
16	17	83
17	18	82
18	19	81
19	20	81
20	21	79
21	22	78
22	23	79
23	24	78
24	26	78
25	27	77
26	28	76
27	29	74
28	30	73
29	31	72
30	31	70
31	32	69
32	34	69
33	35	68
34	36	67
35	37	65
36	37	64
37	38	62
38	39	61
39	40	60
40	40	58
41	41	56
42	42	55
43	44	56
44	45	55
45	46	54
46	48	54
47	51	55
48	52	54
49	53	53
50	55	53
51	56	52
52	57	51
53	58	49
54	59	48
55	59	47
56	61	46
57	63	45
58	66	45
59	67	45
60	69	44
61	71	43
62	72	42
63	73	41
64	74	40
65	75	38
66	76	37
67	77	36
68	78	35
69	82	35
70	83	34
71	84	32
72	85	31
73	88	30
74	88	29
75	89	28
76	90	27
77	91	25
78	92	24
79	94	23
80	96	22
81	97	21
82	98	20
83	100	19
84	101	17
85	102	16
86	102	15
87	103	14
88	105	13
89	106	11
90	108	10
91	109	9
92	111	8
93	112	7
94	114	6
95	115	4
96	116	3
97	117	2
98	118	1
99	119	0
